KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
HGTV;"przed Domowe rewolucje";2023-09-01;pt.;21:58;15;;false;false;-767231853;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:59:15;230907454;;
HGTV;"w Totalne remonty szelągowskiej 5 /2";2023-09-02;sob.;17:33;15;;false;false;-767231345;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;17:35:24;230907454;;
HGTV;"po Totalne remonty szelągowskiej 5 /3";2023-09-02;sob.;17:42;15;;false;false;-767231347;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;17:45:06;230907454;;
HGTV;"po Weekendowa metamorfoza 5 /3";2023-09-02;sob.;21:52;15;;false;false;-767231384;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:52:56;230907454;;
HGTV;"przed Remonty gwiazd hollywood 2";2023-09-02;sob.;21:56;15;;false;false;-767231386;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:57:08;230907454;;
HGTV;"po Dorota was urządzi 3 /2";2023-09-03;niedz.;16:07;15;;false;false;-767231575;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;16:10:10;230907454;;
HGTV;"w Weekendowa metamorfoza 5 /1";2023-09-03;niedz.;17:28;15;;false;false;-767231588;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;17:31:07;230907454;;
HGTV;"przed Moje miasto, mój dom 6";2023-09-03;niedz.;18:08;15;;false;false;-767231594;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;18:11:36;230907454;;
HGTV;"w Wymarzony dom w 100 dni 3 /1";2023-09-03;niedz.;19:24;15;;false;false;-767231604;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;19:26:35;230907454;;
HGTV;"przed Wymarzona wiejska posiadłość";2023-09-03;niedz.;22:07;15;;false;false;-767231628;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;22:08:44;230907454;;
HGTV;"po Dom wygrany na loterii 13 /2";2023-09-04;pon.;12:46;15;;false;false;-767232009;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;12:47:49;230907454;;
HGTV;"po Dom wygrany na loterii 13 /3";2023-09-04;pon.;12:49;15;;false;false;-767232011;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;12:50:37;230907454;;
HGTV;"w Zakochani w remontach 2 /2";2023-09-04;pon.;20:42;15;;false;false;-767232076;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;20:44:53;230907454;;
HGTV;"w Wymarzony dom w 100 dni 4 /1";2023-09-04;pon.;21:09;15;;false;false;-767232081;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:12:36;230907454;;
HGTV;"w Wymarzony dom w 100 dni 4 /2";2023-09-04;pon.;21:36;15;;false;false;-767232084;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:39:20;230907454;;
HGTV;"w Moje miasto mój dom: wielka odnowa 3 /1";2023-09-04;pon.;22:11;15;;false;false;-767232089;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;22:13:47;230907454;;
HGTV;"w Zgłoś ogród /1";2023-09-05;wt.;21:13;15;;false;false;-767232318;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:15:24;230907454;;
HGTV;"w Dorota was urządzi 4 /1";2023-09-06;śr.;17:31;15;;false;false;-767232504;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;17:36:19;230907454;;
HGTV;"w Wakacyjny dom za darmo /2";2023-09-07;czw.;13:04;15;;false;false;-767232696;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;13:07:27;230907454;;
HGTV;"w Wakacyjny dom za darmo /1";2023-09-07;czw.;13:33;15;;false;false;-767232699;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;13:35:43;230907454;;
HGTV;"w Polowanie na ogród 9 /1";2023-09-07;czw.;16:23;15;;false;false;-767232722;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;16:25:12;230907454;;
