KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;WARTOŚĆ SPOTU;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN 7;"w Ukryta prawda /2";2023-09-01;pt.;08:22;15;;false;false;2779,0;-767270807;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Ukryta prawda";2023-09-01;pt.;08:42;15;;false;false;2765,0;-767270815;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Ukryta prawda /2";2023-09-08;pt.;08:22;15;;false;false;2779,0;-767273248;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"po Ukryta prawda /3";2023-09-08;pt.;08:40;15;;false;false;2723,0;-767273252;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Ukryta prawda";2023-09-21;czw.;08:40;15;;false;false;2828,0;-767272107;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Ukryta prawda /2";2023-09-22;pt.;08:22;15;;false;false;2779,0;-767272519;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Ukryta prawda";2023-09-22;pt.;08:40;15;;false;false;2765,0;-767272527;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Zapisane w gwiazdach";2023-09-22;pt.;10:47;15;;false;false;3612,0;-767272563;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Ukryta prawda /2";2023-09-22;pt.;19:33;15;;false;false;5789,0;-767272713;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Ukryta prawda";2023-09-24;niedz.;11:33;15;;false;false;4704,0;-767273273;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Ukryta prawda /2";2023-09-24;niedz.;13:11;15;;false;false;6132,0;-767273301;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Ukryta prawda";2023-09-28;czw.;08:40;15;;false;false;2828,0;-767274831;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Sąd rodzinny /2";2023-09-28;czw.;14:26;15;;false;false;2989,0;-767274932;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Wykapany ojciec /2";2023-09-28;czw.;21:33;15;;false;false;5985,0;-767275052;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"w Ukryta prawda /2";2023-09-29;pt.;08:22;15;;false;false;2779,0;-767275242;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
TVN 7;"przed Ukryta prawda";2023-09-29;pt.;08:41;15;;false;false;2765,0;-767275250;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230929866;;
