KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;WARTOŚĆ SPOTU;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN 7;"po Ukryta prawda /3";2023-09-01;pt.;08:39;15;;false;false;2723,0;-767270811;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Ukryta prawda";2023-09-01;pt.;09:43;15;;false;false;3423,0;-767270833;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"po Maska /4";2023-09-03;niedz.;09:27;15;;false;false;2765,0;-767271217;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"w Harry potter i kamień filozoficzny /4";2023-09-03;niedz.;18:31;15;;false;false;7749,0;-767271347;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Ukryta prawda";2023-09-05;wt.;09:42;15;;false;false;3640,0;-767271990;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"w Ukryta prawda /2";2023-09-08;pt.;08:22;15;;false;false;2779,0;-767273248;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Ukryta prawda";2023-09-08;pt.;08:43;15;;false;false;2765,0;-767273256;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"w Ukryta prawda /2";2023-09-08;pt.;09:22;15;;false;false;3640,0;-767273266;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Zagadki losu";2023-09-08;pt.;10:48;15;;false;false;3612,0;-767273292;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Ukryta prawda";2023-09-10;niedz.;11:47;15;;false;false;4704,0;-767274059;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Zagadki losu";2023-09-12;wt.;10:48;15;;false;false;3094,0;-767274784;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"w Opowieści małżeńskie /2";2023-09-14;czw.;18:32;15;;false;false;4158,0;-767275756;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"w Ukryta prawda /2";2023-09-15;pt.;08:22;15;;false;false;2779,0;-767275934;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"przed Ukryta prawda";2023-09-15;pt.;08:41;15;;false;false;2765,0;-767275938;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
TVN 7;"w Ukryta prawda /1";2023-09-15;pt.;08:55;15;;false;false;2842,0;-767275940;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230929870;;
