KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;WARTOŚĆ SPOTU;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN;"w Zapisane w gwiazdach /2";2023-09-11;pon.;14:41;30;;false;false;8600,0;-767299828;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Szadź 3 /2";2023-09-11;pon.;24:31;30;;false;false;2600,0;-767299908;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Ukryta prawda /2";2023-09-13;śr.;13:40;30;;false;false;7500,0;-767300259;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"przed Ten moment";2023-09-13;śr.;15:04;30;;false;false;9400,0;-767300269;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Detektywi /2";2023-09-14;czw.;14:44;30;;false;false;8600,0;-767300476;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Milionerzy /1";2023-09-14;czw.;21:05;30;;false;false;41500,0;-767300531;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"przed Dzień dobry tvn";2023-09-15;pt.;07:41;30;;false;false;5100,0;-767300620;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Godziny szczytu ii /3";2023-09-17;niedz.;24:10;30;;false;false;2800,0;-767301135;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Dzień dobry tvn /5";2023-09-18;pon.;10:11;30;;false;false;8800,0;-767301240;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Ukryta prawda /2";2023-09-20;śr.;13:40;30;;false;false;7500,0;-767301705;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"przed Sport";2023-09-22;pt.;19:27;30;;false;false;57200,0;-767302166;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"przed Nowe oblicze greya";2023-09-23;sob.;24:15;30;;false;false;4400,0;-767302385;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Dzień dobry tvn /4";2023-09-24;niedz.;09:39;30;;false;false;16800,0;-767302472;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Dzień dobry tvn /5";2023-09-25;pon.;10:11;30;;false;false;8800,0;-767302677;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Ukryta prawda /4";2023-09-25;pon.;18:39;30;;false;false;30300,0;-767302752;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"przed Uwaga!";2023-09-26;wt.;19:48;30;;false;false;49100,0;-767302981;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"w Ukryta prawda /2";2023-09-27;śr.;13:40;30;;false;false;7500,0;-767303147;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
TVN;"przed Superwizjer";2023-09-27;śr.;24:44;30;;false;false;2800,0;-767303233;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;ABBOTT LABORATORIES POLAND SP. Z O.O.;ABBOTT;00:00:00;230910777;;
