blockId;channel;programme;blockType_org;blockType_mod;xDate;xTime;ratecard;freeTime;week;timeband;wantedness;bookedness;eqPriceNet;grpTg_01;grpTg_02;grpTg_50;grpTg_98;grpTg_99;positionCode;scheduleInfo
-764890907;TVN;MASTERCHEF JUNIOR 6 /3;MIDDLE;REGULAR MIDDLE;2021-05-02;21:10:00;52900;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;4,2024;4,1062;4,01;3,9779;3,9779;50;
-764890912;TVN;GROBOWIEC SMOKA;PRE;REGULAR BEFORE;2021-05-02;21:26:00;34000;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;3,1191;3,0945;3,07;3,0454;3,0454;50;
-764890914;TVN;GROBOWIEC SMOKA /1;MIDDLE;SANDWICH AFTER;2021-05-02;22:05:00;24000;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,9807;1,9353;1,89;1,8748;1,8748;50;
-764890916;TVN;GROBOWIEC SMOKA /2;MIDDLE;SANDWICH BEFORE;2021-05-02;22:11:00;24100;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,9812;1,9656;1,95;1,95;1,95;50;
-764890920;TVN;ZIELONA STREFA;PRE;REGULAR BEFORE;2021-05-02;23:12:00;18600;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,7373;1,7236;1,71;1,6963;1,6963;50;
-764890922;TVN;ZIELONA STREFA /1;MIDDLE;SANDWICH AFTER;2021-05-02;23:35:00;7900;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,8384;0,8192;0,8;0,7936;0,7936;50;
-764890924;TVN;ZIELONA STREFA /2;MIDDLE;SANDWICH BEFORE;2021-05-02;23:40:00;7900;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,8128;0,8064;0,8;0,8;0,8;50;
-764890926;TVN;ZIELONA STREFA /3;MIDDLE;SANDWICH AFTER;2021-05-02;00:27:00;3900;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,4925;0,4812;0,47;0,4662;0,4662;50;
-764890928;TVN;ZIELONA STREFA /4;MIDDLE;SANDWICH BEFORE;2021-05-02;00:32:00;3900;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,3759;0,3729;0,37;0,37;0,37;50;
-764890932;TVN;KUCHENNE REWOLUCJE 22;PRE;REGULAR BEFORE;2021-05-02;01:26:00;1200;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,2032;0,2016;0,2;0,1984;0,1984;50;
-764890934;TVN;KUCHENNE REWOLUCJE 22 /1;MIDDLE;REGULAR MIDDLE;2021-05-02;01:41:00;1200;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,1991;0,1945;0,19;0,1884;0,1884;50;
-764890937;TVN;KUCHENNE REWOLUCJE 22 /2;MIDDLE;REGULAR MIDDLE;2021-05-03;02:16:00;1400;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,1257;0,1228;0,12;0,119;0,119;50;
-764890941;TVN;UWAGA!;PRE;REGULAR BEFORE;2021-05-03;02:27:00;1400;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,1219;0,1209;0,12;0,119;0,119;50;
-764890943;TVN;NOC MAGII (TVN);PRE;REGULAR BEFORE;2021-05-03;02:44:00;800;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,0914;0,0907;0,09;0,0892;0,0892;50;
-764890944;TVN;NOC MAGII (TVN) /1;MIDDLE;REGULAR MIDDLE;2021-05-03;03:25:00;800;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,0943;0,0921;0,09;0,0892;0,0892;50;
-764890946;TVN;NOC MAGII (TVN) /2;POST;REGULAR AFTER;2021-05-03;04:06:00;700;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,0784;0,0761;0,07;0,0672;0,0672;50;
-764890973;TVN;NOWA MAJA W OGRODZIE 5;PRE;REGULAR BEFORE;2021-05-03;05:17:00;700;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,0711;0,0705;0,07;0,0694;0,0694;50;
-764890975;TVN;NOWA MAJA W OGRODZIE 5 /1;MIDDLE;REGULAR MIDDLE;2021-05-03;05:35:00;1200;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,0943;0,0921;0,09;0,0892;0,0892;50;
-764890982;TVN;EFEKT DOMINA 8;PRE;REGULAR BEFORE;2021-05-03;05:54:00;1400;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,1117;0,1108;0,11;0,1091;0,1091;50;
-764890984;TVN;EFEKT DOMINA 8 /1;MIDDLE;REGULAR MIDDLE;2021-05-03;06:15:00;700;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,1362;0,1331;0,13;0,1289;0,1289;50;
-764890989;TVN;EFEKT DOMINA 8;PRE;REGULAR BEFORE;2021-05-03;06:28:00;1400;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,1727;0,1713;0,17;0,1686;0,1686;50;
-764890991;TVN;EFEKT DOMINA 8 /1;MIDDLE;REGULAR MIDDLE;2021-05-03;06:45:00;2500;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,2515;0,2457;0,24;0,238;0,238;50;
-764890995;TVN;KUCHENNE REWOLUCJE 9;PRE;REGULAR BEFORE;2021-05-03;06:57:00;2500;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,2438;0,2419;0,24;0,238;0,238;50;
-764890998;TVN;KUCHENNE REWOLUCJE 9 /1;MIDDLE;REGULAR MIDDLE;2021-05-03;07:10:00;3300;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,3668;0,3584;0,35;0,3472;0,3472;50;
-764891001;TVN;KUCHENNE REWOLUCJE 9 /2;MIDDLE;REGULAR MIDDLE;2021-05-03;07:35:00;4700;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,5449;0,5324;0,52;0,5158;0,5158;50;
-764891006;TVN;DZIEŃ DOBRY TVN;PRE;REGULAR BEFORE;2021-05-03;07:56:00;6100;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,6299;0,6249;0,62;0,615;0,615;50;
-764891008;TVN;DZIEŃ DOBRY TVN /1;MIDDLE;REGULAR MIDDLE;2021-05-03;08:15:00;7200;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,8174;0,7987;0,78;0,7737;0,7737;50;
