,blockId,channel,progBefore,progAfter,xDateTime,copyNumber,grp,week,channelGroup,timeband,eqNetPrice,available,channel_POLSAT,channelGroup_TVP,timeband_Off,timeband_Peak,week_24,week_27,order,bonusCurrent,grpOpt,cppOpt
202,18492100495,POLSAT,Film - Pojutrze,Film - Pojutrze,2023-06-05 00:35:00,0,0.35543267892796604,24,Polsat,Off,2000,1,True,False,True,False,True,False,0,1.0476566061463306,0.3723713941191713,5370.981851951638
203,18492100496,POLSAT,Film - Pojutrze,Film - Pojutrze,2023-06-05 00:40:00,0,0.3479835905633362,24,Polsat,Off,2000,1,True,False,True,False,True,False,0,1.0476566061463306,0.3645673074841991,5485.955429743747
204,18492100498,POLSAT,Film - Pojutrze,Film - Pojutrze,2023-06-05 01:30:00,0,0.2257604278286128,24,Polsat,Off,1166,1,True,False,True,False,True,False,0,1.0476566061463306,0.2365194036210681,4929.828090840569
205,18492100499,POLSAT,Film - Pojutrze,Film - Pojutrze,2023-06-05 01:35:00,0,0.2363404278286128,24,Polsat,Off,1166,1,True,False,True,False,True,False,0,1.0476566061463306,0.2476036105140963,4709.139731763396
212,18492100518,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 06:15:00,0,0.525793927228412,24,Polsat,Off,3300,1,True,False,True,False,True,False,0,1.0476566061463306,0.5508514813324689,5990.725471078965
213,18492100519,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 06:30:00,0,0.6007801860137016,24,Polsat,Off,3633,1,True,False,True,False,True,False,0,1.0476566061463306,0.6294113307190758,5772.060054669577
214,18492100520,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 06:45:00,0,0.7105350422490112,24,Polsat,Off,3800,1,True,False,True,False,True,False,0,1.0476566061463306,0.7443967309106387,5104.804793206664
215,18492100521,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 06:47:00,0,0.7105350422490112,24,Polsat,Off,3800,1,True,False,True,False,True,False,0,1.0476566061463306,0.7443967309106387,5104.804793206664
216,18492100524,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 07:15:00,0,0.6223116130430617,24,Polsat,Off,3066,1,True,False,True,False,True,False,0,1.0476566061463306,0.6519688724861425,4702.678501058603
217,18492100525,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 07:30:00,0,0.5650043138802932,24,Polsat,Off,2533,1,True,False,True,False,True,False,0,1.0476566061463306,0.591930501937864,4279.218576686716
218,18492100526,POLSAT,UNKNOWN,Nowy dzień z Polsat News - Graffiti,2023-06-05 07:45:00,0,0.5529298493486259,24,Polsat,Off,2433,1,True,False,True,False,True,False,0,1.0476566061463306,0.5792806094055832,4200.0370122807535
219,18492100527,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 07:55:00,0,0.4754857444635794,24,Polsat,Off,2333,1,True,False,True,False,True,False,0,1.0476566061463306,0.498145781315675,4683.367976816365
220,18492100528,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 08:15:00,0,0.5351289412229482,24,Polsat,Off,2566,1,True,False,True,False,True,False,0,1.0476566061463306,0.5606313704123131,4576.982551142028
221,18492100529,POLSAT,UNKNOWN,Nowy dzień z Polsat News,2023-06-05 08:30:00,0,0.5768273002792819,24,Polsat,Off,2766,1,True,False,True,False,True,False,0,1.0476566061463306,0.6043169317431428,4577.068512744655
222,18492100530,POLSAT,Nowy dzień z Polsat News,UNKNOWN,2023-06-05 08:35:00,0,0.509947265182357,24,Polsat,Off,2133,1,True,False,True,False,True,False,0,1.0476566061463306,0.534249621154551,3992.515699665705
223,18492100533,POLSAT,Malanowski i partnerzy,Malanowski i partnerzy,2023-06-05 08:50:00,0,0.6734678572447317,24,Polsat,Off,2966,1,True,False,True,False,True,False,0,1.0476566061463306,0.7055630496696571,4203.734877256787
224,18492100538,POLSAT,Malanowski i partnerzy 2,Malanowski i partnerzy 2,2023-06-05 09:30:00,0,0.9510689903586429,24,Polsat,Off,3866,1,True,False,True,False,True,False,0,1.0476566061463306,0.996393710650153,3879.9923751800993
225,18492100542,POLSAT,Sekrety rodziny,Sekrety rodziny,2023-06-05 09:50:00,0,0.6288446025754653,24,Polsat,Off,2633,1,True,False,True,False,True,False,0,1.0476566061463306,0.65881320212765,3996.5805049089413
226,18492100544,POLSAT,Sekrety rodziny,Sekrety rodziny,2023-06-05 10:20:00,0,0.7676583276460364,24,Polsat,Off,3433,1,True,False,True,False,True,False,0,1.0476566061463306,0.8042423182216143,4268.613976433424
227,18492100547,POLSAT,Dlaczego ja?,Dlaczego ja?,2023-06-05 10:50:00,0,0.7051226908613669,24,Polsat,Off,3300,1,True,False,True,False,True,False,0,1.0476566061463306,0.7387264452245879,4467.14750951786
228,18492100549,POLSAT,Dlaczego ja?,Dlaczego ja?,2023-06-05 11:20:00,0,0.9270980507342004,24,Polsat,Off,4933,1,True,False,True,False,True,False,0,1.0476566061463306,0.971280397397071,5078.862924877224
229,18492100552,POLSAT,Gliniarze,Gliniarze,2023-06-05 11:50:00,0,1.0769833080364386,24,Polsat,Off,4533,1,True,False,True,False,True,False,0,1.0476566061463306,1.1283086773737034,4017.517626959311
230,18492100554,POLSAT,Gliniarze,Gliniarze,2023-06-05 12:20:00,0,1.3081400703707848,24,Polsat,Off,4866,1,True,False,True,False,True,False,0,1.0476566061463306,1.3704815864886786,3550.5767081973104
231,18492100556,POLSAT,UNKNOWN,Wydarzenia,2023-06-05 12:45:00,0,0.994744090392533,24,Polsat,Off,4133,1,True,False,True,False,True,False,0,1.0476566061463306,1.04215021772476,3965.8390217710034
232,18492100558,POLSAT,UNKNOWN,Interwencja,2023-06-05 13:15:00,0,0.9021089903586429,24,Polsat,Off,3866,1,True,False,True,False,True,False,0,1.0476566061463306,0.9451004432132287,4090.570507888094
233,18492100561,POLSAT,Trudne sprawy,Trudne sprawy,2023-06-05 13:50:00,0,0.806009369051561,24,Polsat,Off,3600,1,True,False,True,False,True,False,0,1.0476566061463306,0.8444210401027036,4263.27605427992
234,18492100563,POLSAT,Trudne sprawy,Trudne sprawy,2023-06-05 14:20:00,0,0.9438293936194082,24,Polsat,Off,4633,1,True,False,True,False,True,False,0,1.0476566061463306,0.9888090993004583,4685.434229193133
235,18492100566,POLSAT,Dlaczego ja?,Dlaczego ja?,2023-06-05 14:50:00,0,0.9150925855425909,24,Polsat,Off,4266,1,True,False,True,False,True,False,0,1.0476566061463306,0.9587027924792215,4449.762776812251
236,18492100568,POLSAT,Dlaczego ja?,Dlaczego ja?,2023-06-05 15:20:00,0,1.2118740068404201,24,Polsat,Off,5666,1,True,False,True,False,True,False,0,1.0476566061463306,1.2696278090833897,4462.725185651518
237,18492100570,POLSAT,UNKNOWN,Wydarzenia,2023-06-05 15:45:00,0,1.3748111223053867,24,Polsat,Off,6266,1,True,False,True,False,True,False,0,1.0476566061463306,1.4403299544866892,4350.39206154197
238,18492100572,POLSAT,UNKNOWN,Pogoda,2023-06-05 16:10:00,0,1.8050975392900095,24,Polsat,Off,8500,1,True,False,True,False,True,False,0,1.0476566061463306,1.891122361775664,4494.68536346794
239,18492100575,POLSAT,Interwencja,UNKNOWN,2023-06-05 16:25:00,0,1.501005473675784,24,Polsat,Off,7100,1,True,False,True,False,True,False,0,1.0476566061463306,1.5725383003582374,4514.993369880123
240,18492100578,POLSAT,Na ratunek 112,Na ratunek 112,2023-06-05 16:40:00,0,1.4299072114865166,24,Polsat,Off,6766,1,True,False,True,False,True,False,0,1.0476566061463306,1.4980517362901273,4516.532931469885
