,blockId,channel,progBefore,progAfter,xDateTime,copyNumber,grp,week,channelGroup,timeband,eqNetPrice,available,progBeforeWeek,progAfterWeek,channelGroup_TVP,timeband_Off,timeband_Peak,week_24,week_25,week_26,week_27,order,bonusCurrent1,grpOpt1,cppOpt1,bannedBy,bannedReason,grpOpt2,cppOpt2,dropable,malusCurrent3,grpOpt3,cppOpt3,time_diff
1789,18481919280,TV PULS,Plan lotu,Plan lotu,2023-06-05 01:23:00,1,0.24611015794831465,24,Other,Off,300,0,Plan lotu|24,Plan lotu|24,False,True,False,True,False,False,False,283,0.0,0.0,inf,,,0.0,inf,1,0.011852145120598246,0.002916933307656781,102847.74054055927,
1806,18481919312,TV PULS,Rodzinny interes,Rodzinny interes,2023-06-05 09:43:00,1,0.35589574860349565,24,Other,Off,366,0,Rodzinny interes|24,Rodzinny interes|24,False,True,False,True,False,False,False,133,0.0,0.0,inf,1806.0,repetition,0.0,inf,1,0.011852145120598246,0.004218128060252581,86768.34718433938,0 days 08:20:00
1814,18481919329,TV PULS,Lekarze na start,Lekarze na start,2023-06-05 13:40:00,1,0.24262559952159307,24,Other,Off,266,0,Lekarze na start|24,Lekarze na start|24,False,True,False,True,False,False,False,166,0.0,0.0,inf,2342.0,repetition,0.0,inf,1,0.011852145120598246,0.0028756338155020737,92501.34650873742,0 days 03:57:00
1828,18481919359,TV PULS,16 przecznic,16 przecznic,2023-06-05 20:37:00,1,1.6761957615497785,24,Other,Peak,2633,0,16 przecznic|24,16 przecznic|24,False,False,True,True,False,False,False,267,0.0,0.0,inf,1981.0,repetition,0.0,inf,-1,0.0025862654299301296,-0.004335087151891599,-607369.5655348245,0 days 06:57:00
1831,18481919364,TV PULS,Pocałunek smoka,Pocałunek smoka,2023-06-05 22:41:00,1,1.0634483651320052,24,Other,Peak,1833,0,Pocałunek smoka|24,Pocałunek smoka|24,False,False,True,True,False,False,False,332,0.0,0.0,inf,,,0.0,inf,-1,0.0025862654299301296,-0.002750359743256619,-666458.2713203907,0 days 02:04:00
1875,18481919457,TV PULS,Więźniowie dzielnicy,Więźniowie dzielnicy,2023-06-06 20:24:00,1,1.24139019582846,24,Other,Peak,1866,0,Więźniowie dzielnicy|24,Więźniowie dzielnicy|24,False,False,True,True,False,False,False,227,0.0,0.0,inf,,,0.0,inf,-1,0.0025862654299301296,-0.00321056454852534,-581206.1934269727,0 days 21:43:00
1883,18481919469,TV PULS,Dzielnica strachu,Dzielnica strachu,2023-06-07 00:30:00,1,0.2918646743295739,24,Other,Off,300,0,Dzielnica strachu|24,Dzielnica strachu|24,False,True,False,True,False,False,False,131,0.0,0.0,inf,2506.0,repetition,0.0,inf,1,0.011852145120598246,0.0034592224757302556,86724.6909109738,0 days 04:06:00
1898,18481919501,TV PULS,Kobra - oddział specjalny,Kobra - oddział specjalny,2023-06-07 07:47:00,1,0.22191268503321793,24,Other,Off,266,0,Kobra - oddział specjalny|24,Kobra - oddział specjalny|24,False,True,False,True,False,False,False,252,0.0,0.0,inf,2234.0,repetition,0.0,inf,1,0.011852145120598246,0.0026301413471153095,101135.24898262366,0 days 07:17:00
1924,18481919556,TV PULS,Cast Away: Poza światem,Cast Away: Poza światem,2023-06-07 20:36:00,1,1.09885883702219,24,Other,Peak,1700,0,Cast Away: Poza światem|24,Cast Away: Poza światem|24,False,False,True,True,False,False,False,258,0.0,0.0,inf,,,0.0,inf,-1,0.0025862654299301296,-0.002841940622563716,-598182.800338182,0 days 12:49:00
1929,18481919563,TV PULS,Atlas chmur,Atlas chmur,2023-06-07 23:14:00,1,0.8151120819978943,24,Other,Off,1233,0,Atlas chmur|24,Atlas chmur|24,False,True,False,True,False,False,False,462,0.0,0.0,inf,1934.0,repetition,0.0,inf,1,0.011852145120598246,0.00966082668539202,127628.82930757875,0 days 02:38:00
1934,18481919569,TV PULS,Atlas chmur,Atlas chmur,2023-06-08 01:21:00,1,0.23741467302640104,24,Other,Off,366,0,Atlas chmur|24,Atlas chmur|24,False,True,False,True,False,False,False,472,0.0,0.0,inf,1934.0,repetition,0.0,inf,1,0.011852145120598246,0.0028138731584682873,130069.82880466069,0 days 02:07:00
1947,18481919594,TV PULS,Klątwa Różowej Pantery,Klątwa Różowej Pantery,2023-06-08 08:26:00,1,0.2474706415670554,24,Other,Off,300,0,Klątwa Różowej Pantery|24,Klątwa Różowej Pantery|24,False,True,False,True,False,False,False,266,0.0,0.0,inf,1996.0,repetition,0.0,inf,1,0.011852145120598246,0.0029330579569402933,102282.32936554514,0 days 07:05:00
